Date,Ticker,Action,Price,Shares,Value
2010-04-01,237,BUY,1956.8000000000002,481,941220.8
2010-04-01,465,BUY,84.41499999999999,10519,887961.3849999999
2010-04-01,2096,BUY,2265.75,425,962943.75
2010-04-01,5611,BUY,363.1375,2790,1013153.625
2010-04-09,123,BUY,158.6325,4557,722888.3025
2010-04-09,237,SELL,2047.2375,107,219054.4125
2010-04-09,465,SELL,89.63999999999999,2452,219797.27999999997
2010-04-09,2096,SELL,2290.175,86,196955.05000000002
2010-04-09,3608,BUY,20.442500000000003,32648,667406.7400000001
2010-04-09,5611,SELL,386.88750000000005,708,273916.35000000003
2010-04-19,123,SELL,156.7775,617,96731.7175
2010-04-19,237,SELL,1900.8625000000002,41,77935.3625
2010-04-19,465,SELL,91.52,8067,738291.84
2010-04-19,2096,SELL,2318.7875,55,127533.3125
2010-04-19,3608,SELL,20.5625,4792,98535.5
2010-04-19,3616,BUY,129.1375,4926,636131.325
2010-04-19,5611,SELL,368.475,274,100962.15000000001
2010-04-19,24951,BUY,1098.15,630,691834.5
2010-04-26,123,SELL,177.8825,1277,227155.95249999998
2010-04-26,131,BUY,257.825,1840,474398.0
2010-04-26,237,SELL,1883.6375,65,122436.4375
2010-04-26,2096,SELL,2307.5875,69,159223.5375
2010-04-26,3608,SELL,21.715,27856,604893.04
2010-04-26,3616,SELL,127.4725,951,121226.3475
2010-04-26,5611,SELL,371.23749999999995,244,90581.94999999998
2010-04-26,20883,BUY,114.7975,4515,518310.7125
2010-04-26,24951,SELL,1107.3,104,115159.2
2010-05-03,123,SELL,180.75,2663,481337.25
2010-05-03,131,BUY,257.875,305,78651.875
2010-05-03,2096,BUY,2355.0125,20,47100.25
2010-05-03,3616,BUY,134.81,137,18468.97
2010-05-03,3617,BUY,131.22,4748,623032.5599999999
2010-05-03,5611,SELL,363.6,1564,568670.4
2010-05-03,12586,BUY,38.154999999999994,15577,594340.4349999999
2010-05-03,13051,BUY,124.1125,4435,550438.9375
2010-05-03,15783,BUY,59.9375,9125,546929.6875
2010-05-03,20883,BUY,113.685,797,90606.945
2010-05-03,24951,SELL,973.1,526,511850.60000000003
2010-05-10,131,SELL,258.7125,420,108659.24999999999
2010-05-10,237,SELL,1904.6374999999998,32,60948.399999999994
2010-05-10,2096,SELL,2277.0125,43,97911.53749999999
2010-05-10,3616,SELL,131.8675,679,89538.0325
2010-05-10,3617,SELL,125.57499999999999,966,121305.44999999998
2010-05-10,12586,SELL,37.775,2591,97875.025
2010-05-10,13051,SELL,124.375,642,79848.75
2010-05-10,15783,SELL,58.6125,1594,93428.325
2010-05-10,20883,SELL,115.405,1097,126599.285
2010-05-17,119,BUY,613.675,621,381092.175
2010-05-17,131,SELL,223.89999999999998,25,5597.499999999999
2010-05-17,209,BUY,97.2025,4402,427885.405
2010-05-17,237,SELL,1860.6375,11,20467.0125
2010-05-17,2096,SELL,2248.8625,192,431781.60000000003
2010-05-17,3616,SELL,132.54500000000002,210,27834.450000000004
2010-05-17,3617,SELL,123.70250000000001,281,34760.402500000004
2010-05-17,6367,BUY,80.185,4635,371657.47500000003
2010-05-17,12586,SELL,38.73500000000001,830,32150.050000000007
2010-05-17,13051,SELL,122.96249999999999,137,16845.8625
2010-05-17,15783,SELL,56.849999999999994,503,28595.549999999996
2010-05-17,20883,SELL,125.4725,724,90842.09
2010-05-24,119,SELL,667.3,144,96091.2
2010-05-24,200,BUY,50.019999999999996,6792,339735.83999999997
2010-05-24,209,SELL,94.7875,870,82465.125
2010-05-24,237,SELL,1878.2875,225,422614.6875
2010-05-24,808,BUY,45.160000000000004,7678,346738.48000000004
2010-05-24,1016,BUY,114.01,3269,372698.69
2010-05-24,3616,SELL,133.98000000000002,629,84273.42000000001
2010-05-24,3617,SELL,123.115,3501,431025.615
2010-05-24,6367,SELL,93.30499999999999,1355,126428.275
2010-05-24,12586,SELL,38.46,2433,93573.18000000001
2010-05-24,13051,SELL,119.32499999999999,636,75890.7
2010-05-24,15783,SELL,55.075,1032,56837.4
2010-05-24,20883,SELL,122.005,686,83695.43
2010-05-31,119,BUY,662.6875,92,60967.25
2010-05-31,195,BUY,1030.4699999999998,473,487412.3099999999
2010-05-31,200,BUY,50.325,1565,78758.625
2010-05-31,209,BUY,94.59,791,74820.69
2010-05-31,808,BUY,51.0325,430,21943.975
2010-05-31,1016,BUY,110.98750000000001,958,106326.02500000001
2010-05-31,3616,BUY,137.07500000000002,533,73060.975
2010-05-31,3722,BUY,4.4325,84981,376678.28250000003
2010-05-31,12586,BUY,38.125,2636,100497.5
2010-05-31,15783,BUY,56.625,943,53397.375
2010-05-31,20883,BUY,120.82,737,89044.34
2010-06-07,119,SELL,656.0375,41,26897.537500000002
2010-06-07,195,SELL,1012.45,73,73908.85
2010-06-07,200,SELL,52.325,1164,60906.3
2010-06-07,209,SELL,95.065,479,45536.135
2010-06-07,465,BUY,105.235,3710,390421.85
2010-06-07,808,SELL,49.6225,951,47190.997500000005
2010-06-07,1016,SELL,111.88250000000002,403,45088.64750000001
2010-06-07,3616,SELL,137.74,3127,430712.98000000004
2010-06-07,3722,SELL,4.614999999999999,13634,62920.90999999999
2010-06-07,6367,SELL,93.7625,64,6000.8
2010-06-07,12586,SELL,39.3925,2583,101750.8275
2010-06-07,15783,SELL,55.762499999999996,911,50799.6375
2010-06-07,20883,SELL,123.2175,560,69001.8
2010-06-14,119,BUY,647.6125,41,26552.1125
2010-06-14,195,BUY,1051.4499999999998,8,8411.599999999999
2010-06-14,200,BUY,55.015,13,715.195
2010-06-14,209,BUY,99.31249999999999,124,12314.749999999998
2010-06-14,465,BUY,105.1625,282,29655.824999999997
2010-06-14,808,BUY,52.6725,75,3950.4375
2010-06-14,1016,BUY,112.25,270,30307.5
2010-06-14,3722,BUY,4.5675,5853,26733.5775
2010-06-14,6367,BUY,95.345,207,19736.415
2010-06-14,12586,BUY,39.3125,581,22840.5625
2010-06-14,20883,BUY,123.325,204,25158.3
2010-06-14,27485,BUY,517.4375,768,397392.0
2010-06-21,119,SELL,646.95,81,52402.950000000004
2010-06-21,195,SELL,1045.7075,58,60651.034999999996
2010-06-21,200,SELL,54.065,989,53470.284999999996
2010-06-21,209,SELL,100.4975,718,72157.205
2010-06-21,465,SELL,105.72749999999999,623,65868.2325
2010-06-21,808,SELL,55.474999999999994,1666,92421.34999999999
2010-06-21,1016,SELL,110.14750000000001,523,57607.1425
2010-06-21,3722,SELL,4.6125,11633,53657.2125
2010-06-21,6367,SELL,98.4975,569,56045.0775
2010-06-21,12586,SELL,38.8475,1224,47549.34
2010-06-21,15783,SELL,56.7375,236,13390.05
2010-06-21,20883,SELL,128.89499999999998,513,66123.135
2010-06-21,27485,SELL,517.3125,97,50179.3125
2010-06-28,119,BUY,631.35,102,64397.700000000004
2010-06-28,195,BUY,1093.525,40,43741.0
2010-06-28,200,BUY,54.8825,2207,121125.6775
2010-06-28,209,BUY,103.0025,514,52943.284999999996
2010-06-28,465,BUY,103.64499999999998,648,67161.95999999999
2010-06-28,808,BUY,55.425,974,53983.95
2010-06-28,866,BUY,351.54999999999995,954,335378.69999999995
2010-06-28,1016,BUY,115.1275,517,59520.917499999996
2010-06-28,3722,BUY,4.5825,12569,57597.4425
2010-06-28,6367,BUY,98.8325,488,48230.259999999995
2010-06-28,12586,BUY,38.497499999999995,2056,79150.85999999999
2010-06-28,15783,SELL,58.9625,5792,341510.8
2010-06-28,20883,BUY,128.1,426,54570.6
2010-06-28,27485,BUY,514.35,135,69437.25
2010-07-05,119,SELL,644.925,58,37405.649999999994
2010-07-05,195,SELL,1088.1875,36,39174.75
2010-07-05,200,SELL,50.6775,537,27213.8175
2010-07-05,209,SELL,101.1,296,29925.6
2010-07-05,465,SELL,110.6275,564,62393.909999999996
2010-07-05,808,SELL,56.0225,584,32717.14
2010-07-05,866,SELL,392.07500000000005,954,374039.55000000005
2010-07-05,1016,SELL,116.52499999999999,521,60709.524999999994
2010-07-05,3722,SELL,4.742500000000001,10124,48013.07000000001
2010-07-05,6367,SELL,97.6675,217,21193.8475
2010-07-05,12586,SELL,36.487500000000004,538,19630.275
2010-07-05,20883,SELL,131.415,361,47440.814999999995
2010-07-05,24475,BUY,394.22499999999997,828,326418.3
2010-07-05,27485,SELL,510.76250000000005,57,29113.4625
2010-07-12,119,SELL,655.7125000000001,43,28195.637500000004
2010-07-12,195,SELL,1050.55,20,21011.0
2010-07-12,200,SELL,50.835,776,39447.96
2010-07-12,209,SELL,103.8875,310,32205.125
2010-07-12,292,BUY,108.07249999999999,3491,377281.0975
2010-07-12,465,SELL,108.6,245,26607.0
2010-07-12,808,SELL,57.79,560,32362.399999999998
2010-07-12,1016,SELL,125.2975,429,53752.6275
2010-07-12,3722,SELL,5.04,6845,34498.8
2010-07-12,3897,BUY,296.4875,1585,469932.6875
2010-07-12,6367,SELL,97.29750000000001,217,21113.557500000003
2010-07-12,12122,BUY,116.1125,3214,373185.575
2010-07-12,12586,SELL,36.925,10651,393288.175
2010-07-12,20883,SELL,130.8675,174,22770.945
2010-07-12,27485,SELL,514.7125,42,21617.925
2010-07-19,119,SELL,666.9,1,666.9
2010-07-19,195,BUY,1028.595,13,13371.735
2010-07-19,200,SELL,53.2325,206,10965.895
2010-07-19,209,BUY,101.875,324,33007.5
2010-07-19,292,SELL,114.285,100,11428.5
2010-07-19,465,SELL,119.40499999999999,327,39045.435
2010-07-19,808,SELL,60.302499999999995,129,7779.022499999999
2010-07-19,1016,SELL,133.095,268,35669.46
2010-07-19,3722,SELL,5.14,125,642.5
2010-07-19,3897,BUY,297.6,32,9523.2
2010-07-19,6367,SELL,104.5575,164,17147.43
2010-07-19,12122,SELL,119.9625,13,1559.5125
2010-07-19,20883,BUY,127.375,162,20634.75
2010-07-19,27485,BUY,502.85,65,32685.25
2010-07-26,119,BUY,656.375,73,47915.375
2010-07-26,195,SELL,1038.3899999999999,347,360321.32999999996
2010-07-26,200,BUY,53.45249999999999,108,5772.869999999999
2010-07-26,209,SELL,101.7575,47,4782.6025
2010-07-26,266,BUY,826.1875,431,356086.8125
2010-07-26,292,SELL,117.94750000000002,128,15097.280000000002
2010-07-26,465,SELL,120.85249999999999,99,11964.3975
2010-07-26,808,SELL,61.95,290,17965.5
2010-07-26,1016,SELL,139.7525,178,24875.945
2010-07-26,3722,SELL,5.050000000000001,226,1141.3000000000002
2010-07-26,3897,SELL,294.0,62,18228.0
2010-07-26,6367,BUY,100.36999999999999,43,4315.91
2010-07-26,12122,BUY,119.6625,29,3470.2124999999996
2010-07-26,20883,SELL,126.975,2726,346133.85
2010-07-26,27485,BUY,507.625,4,2030.5
2010-07-26,28074,BUY,1253.4325,317,397338.1025
2010-08-02,119,SELL,656.4,51,33476.4
2010-08-02,200,SELL,55.25999999999999,349,19285.739999999998
2010-08-02,209,SELL,106.0,568,60208.0
2010-08-02,266,SELL,876.6375,92,80650.65000000001
2010-08-02,292,SELL,116.10249999999999,353,40984.182499999995
2010-08-02,465,SELL,130.0325,653,84911.2225
2010-08-02,808,SELL,59.1875,397,23497.4375
2010-08-02,1016,SELL,140.595,282,39647.79
